GroundDist,Mean-Elev,ElevFactor,EllipDist,PtLoc,ScaleFactor,GridDist,CombFactor,GridDistCF
100.0,0,1.0,100.0,"28.0,84.0",0.9999,99.99,0.9999,99.99
100.0,100,0.9999843,99.998,"28.0,84.0",0.9999,99.988,0.99988431,99.988
100.0,200,0.99996861,99.997,"28.0,84.0",0.9999,99.987,0.99986861,99.987
100.0,400,0.99993722,99.994,"28.0,84.0",0.9999,99.984,0.99983723,99.984
100.0,500,0.99992153,99.992,"28.0,84.0",0.9999,99.982,0.99982153,99.982
100.0,600,0.99990583,99.991,"28.0,84.0",0.9999,99.981,0.99980584,99.981
100.0,800,0.99987445,99.987,"28.0,84.0",0.9999,99.977,0.99977446,99.977
100.0,1000,0.99984306,99.984,"28.0,84.0",0.9999,99.974,0.99974308,99.974
100.0,1200,0.99981168,99.981,"28.0,84.0",0.9999,99.971,0.9997117,99.971
100.0,1400,0.9997803,99.978,"28.0,84.0",0.9999,99.968,0.99968032,99.968
100.0,1500,0.99976461,99.976,"28.0,84.0",0.9999,99.966,0.99966464,99.966
100.0,1600,0.99974893,99.975,"28.0,84.0",0.9999,99.965,0.99964895,99.965
100.0,1800,0.99971755,99.972,"28.0,84.0",0.9999,99.962,0.99961758,99.962
100.0,2000,0.99968618,99.969,"28.0,84.0",0.9999,99.959,0.99958621,99.959
100.0,2200,0.9996548,99.965,"28.0,84.0",0.9999,99.955,0.99955484,99.955
100.0,2400,0.99962343,99.962,"28.0,84.0",0.9999,99.952,0.99952347,99.952
100.0,2500,0.99960775,99.961,"28.0,84.0",0.9999,99.951,0.99950779,99.951
100.0,2600,0.99959207,99.959,"28.0,84.0",0.9999,99.949,0.99949211,99.949
100.0,2800,0.9995607,99.956,"28.0,84.0",0.9999,99.946,0.99946075,99.946
100.0,3000,0.99952934,99.953,"28.0,84.0",0.9999,99.943,0.99942939,99.943
