GroundDist,Mean-Elev,ElevFactor,EllipDist,PtLoc,ScaleFactor,GridDist,CombFactor,GridDistCF
100.0,0,1.0,100.0,"28.0,85.5",1.00016857,100.017,1.00016857,100.017
100.0,100,0.9999843,99.998,"28.0,85.5",1.00016857,100.015,1.00015288,100.015
100.0,200,0.99996861,99.997,"28.0,85.5",1.00016857,100.014,1.00013718,100.014
100.0,400,0.99993722,99.994,"28.0,85.5",1.00016857,100.011,1.00010578,100.011
100.0,500,0.99992153,99.992,"28.0,85.5",1.00016857,100.009,1.00009009,100.009
100.0,600,0.99990583,99.991,"28.0,85.5",1.00016857,100.007,1.00007439,100.007
100.0,800,0.99987445,99.987,"28.0,85.5",1.00016857,100.004,1.000043,100.004
100.0,1000,0.99984306,99.984,"28.0,85.5",1.00016857,100.001,1.00001161,100.001
100.0,1200,0.99981168,99.981,"28.0,85.5",1.00016857,99.998,0.99998023,99.998
100.0,1400,0.9997803,99.978,"28.0,85.5",1.00016857,99.995,0.99994884,99.995
100.0,1500,0.99976461,99.976,"28.0,85.5",1.00016857,99.993,0.99993315,99.993
100.0,1600,0.99974893,99.975,"28.0,85.5",1.00016857,99.992,0.99991746,99.992
100.0,1800,0.99971755,99.972,"28.0,85.5",1.00016857,99.989,0.99988608,99.989
100.0,2000,0.99968618,99.969,"28.0,85.5",1.00016857,99.985,0.9998547,99.985
100.0,2200,0.9996548,99.965,"28.0,85.5",1.00016857,99.982,0.99982332,99.982
100.0,2400,0.99962343,99.962,"28.0,85.5",1.00016857,99.979,0.99979195,99.979
100.0,2500,0.99960775,99.961,"28.0,85.5",1.00016857,99.978,0.99977626,99.978
100.0,2600,0.99959207,99.959,"28.0,85.5",1.00016857,99.976,0.99976057,99.976
100.0,2800,0.9995607,99.956,"28.0,85.5",1.00016857,99.973,0.9997292,99.973
100.0,3000,0.99952934,99.953,"28.0,85.5",1.00016857,99.97,0.99969783,99.97
