EllipDist,LonSpacing,Lat,LonDD,ScaleFactor,GridDist
100.0,0,28.0,84.0,0.9999,99.99
100.0,10,28.0,84.16666667,0.99990332,99.99
100.0,20,28.0,84.33333333,0.99991326,99.991
100.0,30,28.0,84.5,0.99992984,99.993
100.0,40,28.0,84.66666667,0.99995304,99.995
100.0,50,28.0,84.83333333,0.99998288,99.998
100.0,55,28.0,84.91666667,1.00000029,100.0
100.0,60,28.0,85.0,1.00001936,100.002
100.0,70,28.0,85.16666667,1.00006246,100.006
100.0,80,28.0,85.33333333,1.0001122,100.011
100.0,90,28.0,85.5,1.00016857,100.017
